id,title,company,city,salary,education,experience,job_type,skills,benefits,description,requirements,publish_date,contact_person,phone,email,address,source,status,views,applications
1,重症护理员,养老院487,济南,6000-8000元/月,护理专业优先,3-5年,临时,吃苦耐劳、康复护理、按摩技能、无传染病、沟通技巧、血压测量、心理护理、耐心细心,包吃包住、培训机会、晋升空间,在养老院487担任重症护理员，负责日常护理工作，具备良好的沟通能力和责任心。,年龄要求：55岁以下；学历要求：高中；技能要求：耐心细心、吸痰护理、营养配餐、有爱心、伤口护理、按摩技能、无传染病、身体健康；性别要求：不限；工作经验：5-10年,2025-08-23,贺璐,15279894754,glei@example.net,台湾省丹县友好武汉街U座 112576,智联招聘,招聘中,212,2
2,居家护理员,康复中心757,温州,5000-6000元/月,初中,3-5年,临时,药物管理、吸痰护理、翻身护理、有爱心,餐补、生日福利、住宿补贴、年终奖、五险一金、培训机会,招聘居家护理员，工作地点在温州，要求身体健康，有爱心，能吃苦耐劳。,性别要求：女；年龄要求：26岁以下；其他要求：身体健康，无传染病史，有爱心和责任心；工作经验：1年以下；技能要求：鼻饲护理、基础护理、翻身护理；学历要求：不限,2025-08-30,赖楠,13950651390,linjun@example.net,甘肃省磊市怀柔许街F座 104399,拉勾网,已暂停,353,30
3,病患护理员,家政服务公司228,深圳,5000-6000元/月,初中,10年以上,白班,导尿护理、血压测量、急救技能、体位护理、有爱心、基础护理,交通补贴、餐补,在家政服务公司228担任病患护理员，负责日常护理工作，具备良好的沟通能力和责任心。,性别要求：男；学历要求：中专；其他要求：身体健康，无传染病史，有爱心和责任心；技能要求：有爱心、医疗护理、基础护理、吃苦耐劳、吸痰护理；工作经验：3-5年,2025-08-26,迟慧,14517545654,ymo@example.net,黑龙江省阜新市璧山嘉禾街N座 813493,Boss直聘,已暂停,988,34
4,护理师,养老院774,北京,8000-10000元/月,中专,不限,全职,翻身护理、生活护理、责任心强、导尿护理、有爱心、心理护理,五险一金、培训机会、包吃包住、带薪年假,招聘护理师，工作地点在北京，要求身体健康，有爱心，能吃苦耐劳。,年龄要求：45岁以下；技能要求：鼻饲护理、伤口护理、生活护理、康复护理、体位护理、责任心强、心理护理；工作经验：1-3年；学历要求：本科；性别要求：女,2025-08-21,赵梅,13060681404,guiyingkang@example.com,浙江省贵阳县新城东莞街a座 252283,智联招聘,已结束,643,40
5,居家护理员,医院582,沈阳,9239元/月,不限,3-5年,夜班,沟通技巧、耐心细心、康复护理、身体健康、血糖监测、医疗护理、翻身护理、吃苦耐劳,绩效奖金、加班费、住宿补贴、年终奖,在医院582担任居家护理员，负责日常护理工作，具备良好的沟通能力和责任心。,学历要求：本科；技能要求：导尿护理、急救技能、沟通技巧、体位护理、吃苦耐劳、生活护理；其他要求：身体健康，无传染病史，有爱心和责任心；工作经验：1年以下；年龄要求：54岁以下；性别要求：男,2025-09-09,闵杨,13431856028,qiaoli@example.net,安徽省惠州县翔安张路F座 867279,51job,已结束,844,45
6,养老护理员,医疗科技公司476,长春,25000-30000元/月,中专,5-10年,全职,基础护理、安全防护、血压测量,加班费、节日福利、生日福利、住宿补贴、五险一金,招聘养老护理员，工作地点在长春，要求身体健康，有爱心，能吃苦耐劳。,工作经验：5-10年；技能要求：沟通技巧、翻身护理、心理护理、吸痰护理、安全防护、有爱心、吃苦耐劳、医疗护理；年龄要求：41岁以下,2025-09-17,吕莹,15121054146,mhan@example.net,安徽省嘉禾市海港宋街i座 231515,猎聘网,招聘中,545,34
7,医疗护理员,医疗护理公司852,南京,6000-8000元/月,本科,1年以下,夜班,营养配餐、耐心细心、急救技能,交通补贴、餐补、健康体检、节日福利、带薪年假、年终奖,招聘医疗护理员，工作地点在南京，要求身体健康，有爱心，能吃苦耐劳。,技能要求：按摩技能、有爱心、吸痰护理、导尿护理、血糖监测、伤口护理、无传染病、医疗护理；年龄要求：51岁以下；性别要求：女；其他要求：身体健康，无传染病史，有爱心和责任心；学历要求：高中,2025-09-17,张洁,14590222555,rqiao@example.com,河南省沈阳市高港张路u座 107139,拉勾网,已结束,873,19
8,护工,社区卫生服务中心12,福州,12000-15000元/月,大专,3-5年,兼职,药物管理、基础护理、鼻饲护理、血糖监测、吸痰护理,培训机会、晋升空间、交通补贴,在社区卫生服务中心12担任护工，负责日常护理工作，具备良好的沟通能力和责任心。,技能要求：身体健康、耐心细心、按摩技能、营养配餐；工作经验：1-3年；学历要求：中专,2025-09-04,班淑英,13999408443,yang94@example.net,浙江省上海县南溪程街e座 775917,拉勾网,已结束,752,13
9,居家护理员,家政服务公司256,苏州,8000-10000元/月,本科,10年以上,夜班,无传染病、按摩技能、鼻饲护理、药物管理、伤口护理、医疗护理、吃苦耐劳,带薪年假、五险一金、住宿补贴,需要居家护理员，负责照顾患者日常生活，协助医疗护理，提供专业服务。,性别要求：不限；工作经验：不限；其他要求：身体健康，无传染病史，有爱心和责任心；学历要求：护理专业优先；年龄要求：41岁以下；技能要求：按摩技能、责任心强、沟通技巧、康复护理、伤口护理、血糖监测、安全防护,2025-08-21,李玉珍,13988277381,juan37@example.org,安徽省丽娟市房山安街h座 317206,智联招聘,招聘中,244,36
10,重症护理员,护理站274,太原,5443元/月,初中,5-10年,夜班,营养配餐、血压测量、鼻饲护理、吃苦耐劳、体位护理、伤口护理、沟通技巧,节日福利、加班费、交通补贴、带薪年假,需要重症护理员，负责照顾患者日常生活，协助医疗护理，提供专业服务。,性别要求：男；工作经验：3-5年；其他要求：身体健康，无传染病史，有爱心和责任心,2025-09-10,马畅,13617306083,yancai@example.org,西藏自治区秀荣市六枝特丁路L座 510927,猎聘网,已暂停,980,27
